Basin.Name,Country,Ecoregion,Med_Longit,Med_Latit,RBA,MAT,TS,GDP,CSI,NSR,DIS,RAD,dist_between_centroids,Similarity_Centroid
Aa,France,Palearctic,2.049219724,50.78136488,1200.364626,10.23535192,489.0897052,23.86764908,99.38421395,22,5.445716168,0.673845492,0.091075312,0.916527016
Abukuma,Japan,Palearctic,140.4631208,37.61083179,5362.643425,10.68777482,848.2278009,50.16905022,97.17836778,6,26.37843615,0.493964343,0.358755896,0.735967368
Aceh,Indonesia,Indo-Malay,95.56732362,5.318811898,1603.968673,25.06691933,49.76832722,2.092018545,99.72502537,14,6.81828816,0.715436793,0.489987508,0.671146566
Acheloos,Greece,Palearctic,21.48447586,38.99904113,5821.728156,12.09962599,658.0536681,6.078314781,87.98760143,20,17.34124447,0.860204077,0.252725692,0.798259353
Acisu,Turkey,Palearctic,31.06264501,36.96701519,297.3496756,17.79621733,704.7491344,3.345977008,99.40823574,7,2.639939744,0.950048764,1.025620156,0.493675972
Aconcagua,Chile,Neotropic,-70.65645485,-32.77064478,7318.876825,8.534749744,397.0020272,7.234971046,99.50628836,20,4.983394987,0.91667472,0.285265865,0.778049139
Adako.un,Japan,Palearctic,136.8981253,34.39478287,11.68668062,15.7569444,729.7255737,62.14790344,NA,8,19.658,0.597517962,0.805597183,0.553833385
Adige,Italy,Palearctic,11.33185941,46.2339395,14631.20888,6.361121801,679.3131537,34.47934532,95.58265694,18,40.31970074,0.82290453,0.301420132,0.768391371
Adour,France,Palearctic,-0.506598208,43.42946996,16911.16103,12.05183704,505.1351236,12.87720895,99.29387026,24,23.37178293,0.687502552,0.093027669,0.914889923
Agano,Japan,Palearctic,139.6150537,37.44530404,7805.6875,9.052657637,918.9299151,38.95591831,95.3794178,15,36.93535046,0.834617446,0.215463255,0.822731577
Agly,France,Palearctic,2.606691822,42.81292317,1125.200682,12.7286707,566.2799197,13.23371863,92.69265933,17,7.07997659,0.720019744,0.093751423,0.914284525
Agri,Italy,Palearctic,16.11443895,40.30474355,1793.905904,12.94598116,624.422633,11.80696368,90.35566437,7,8.327658853,0.845842028,0.134215552,0.881666627
Aguanaval,Mexico,Nearctic,-102.8729234,24.50174289,32876.21725,18.31110933,383.3844797,2.332078218,97.75463639,6,2.30586245,0.95646008,0.455779247,0.686917335
Akitio,New Zealand,Australasia,176.3076561,-40.45467037,584.3439741,12.41095559,344.2829724,0.408047549,99.85053394,9,9.024718343,0.591204792,0.537911953,0.650232283
Aksu,Turkey,Palearctic,30.8507144,37.78976701,7738.137846,11.75944628,759.3909966,3.885437667,94.86416568,36,4.99809327,0.936752814,0.085429136,0.921294598
Aksu.North,Turkey,Palearctic,38.38597013,40.64078625,900.7624843,8.060288264,705.3529467,2.40201658,99.87743341,34,7.37550275,0.776802656,0.303551442,0.76713505
Alabama,United States,Nearctic,-86.9483201,33.21408079,111854.611,16.61429588,743.4736011,12.26869059,96.64959766,221,89.7129356,0.76009118,0.345057426,0.743462681
Alafia,United States,Nearctic,-82.10645604,27.86256228,1128.481426,22.40795426,453.4382295,52.89338207,78.55952977,44,4.980488334,0.419069626,0.276026913,0.78368253
Alara,Turkey,Palearctic,32.05901062,36.7908544,1090.129654,10.97956411,727.6379945,4.777015924,99.52458725,7,11.57244556,0.925515355,0.325471256,0.75444865
Alas,Indonesia,Indo-Malay,98.00823653,2.948953807,11892.35204,21.92095294,37.90369409,2.490724474,99.94249714,57,58.4714628,0.359283707,0.562574598,0.639969446
Albegna,Italy,Palearctic,11.41082717,42.61148416,737.1617341,14.12588188,622.1403031,9.656529903,99.30139872,5,2.874805166,0.65199325,0.045424285,0.956549426
Albert.lake,United States,Nearctic,-120.4260678,42.58614378,2323.223207,7.179666621,701.754033,0.170313228,99.43470483,2,0.11067479,0.915388311,0.252461322,0.79842785
Alemeda.creek,United States,Nearctic,-121.7645983,37.56856697,1898.537136,14.77946928,530.4127721,124.9055939,85.33552566,19,1.567548473,0.972960762,0.114794513,0.897026302
Alfios,Greece,Palearctic,21.95637658,37.66021742,3437.187744,13.09894719,634.8301349,5.587246299,95.70972002,9,11.81948271,0.918652664,0.323728251,0.755442062
Aliakmon,Greece,Palearctic,21.53765139,40.26802572,6614.686281,11.21595293,716.8269964,8.308555245,93.36134278,38,18.50598369,0.779799203,0.117601225,0.894773536
Alsea,United States,Nearctic,-123.7375202,44.37530115,1164.405711,10.00229628,427.2678433,16.03758836,99.96382161,15,17.20481636,0.864852051,0.238067418,0.807710457
Alsek,Canada,Nearctic,-137.5950445,60.3245637,28645.90831,-3.15992872,918.6458389,0.010745534,99.99825427,26,43.04786455,0.940749308,0.200059993,0.833291674
Altaelva,Norway,Palearctic,23.18330526,69.24965182,7378.98011,-2.29559796,926.263501,0.159988791,97.44165968,7,18.96237028,0.80995136,0.246510581,0.80223948
Altamaha,United States,Nearctic,-83.18008768,32.78055863,37484.57995,17.66189894,705.0121641,19.60135007,95.99329488,96,36.55995145,0.723150403,0.275654624,0.783911241
Amahlongwa,South Africa,Afrotropic,30.71384295,-30.22048361,104.647937,20.239781,261.3787113,4.65536809,99.88069411,7,1.032,0.60332871,0.510293302,0.662123045
Amazon,Brazil,Neotropic,-64.57285505,-6.714857006,5888416.916,24.69524502,66.37258702,0.238243382,99.90543136,2140,827.889986,0.439564284,0.345827736,0.743037146
Amba,India,Indo-Malay,73.17393307,18.62922476,900.28717,26.70105195,198.9007577,15.07934308,97.97617257,50,45.40084469,0.98567958,0.286976784,0.777014793
Ambalam.Oya,Sri Lanka,Indo-Malay,81.74688953,7.174820563,159.0406773,27.66822914,125.8374856,3.374859393,99.41182155,28,3.812364389,0.859673331,0.335389419,0.748845233
Ameca,Mexico,Neotropic,-104.5008285,20.69148683,12281.46078,19.80078357,238.8376717,8.720870137,97.86230376,48,13.81295639,0.954720956,0.1882552,0.84157006
Amu.Darya,Uzbekistan,Palearctic,65.91790268,39.74440722,624690.054,9.208815267,1067.128879,0.527910873,98.70253948,49,66.36060675,0.88337227,0.058479436,0.944751467
Amur,China,Palearctic,126.1503364,49.49515104,2011733.254,-1.053357109,1562.025663,0.760108694,99.4062136,141,97.43769475,0.748458225,0.154888883,0.865884168
An.Lao,Vietnam,Indo-Malay,108.8943954,14.45333145,1388.855717,24.90643078,246.2904985,0.948202819,99.75100537,42,23.43357163,0.940160781,0.583856558,0.631370306
Anadyr,Russia,Palearctic,171.4601481,65.50433861,175195.0926,-10.43778229,1544.156567,0.009021572,99.99839938,27,40.60864542,0.93775197,0.267919791,0.788693423
Anasco,Puerto Rico,Neotropic,-66.95237622,18.22632014,469.1630528,23.28364997,132.1239028,22.74415016,96.21414197,44,6.673248996,0.720675158,0.245715256,0.802751668
Ancharakandi,India,Indo-Malay,75.6038021,11.86406387,369.8943832,26.66954981,139.3016272,8.649629474,99.75409354,28,23.20344711,0.973902967,0.670244457,0.598714754
Andalien,Chile,Neotropic,-72.81967683,-36.82492457,767.4691481,12.2272175,328.5029839,4.66740042,99.67748291,15,13.39680727,0.94613679,0.355874955,0.737531139
Andella.Oya,Sri Lanka,Indo-Malay,81.6082882,7.428638247,537.057988,27.4797196,137.8680101,3.374859512,87.38880252,30,6.192565755,0.863463435,0.337834434,0.747476649
Angermanalven,Sweden,Palearctic,15.85563933,64.33996651,31493.16449,0.77674945,843.7768566,0.299522631,94.64905711,19,37.34297377,0.750636098,0.132317846,0.883144255
Annan.UK,United Kingdom,Palearctic,-3.407012904,55.2222027,963.2144464,7.818772405,415.7844936,33.11868,99.87387158,17,12.61166863,0.420920382,0.108014814,0.902515009
Ansan,South Korea,Palearctic,126.8472034,37.33405118,50.99229823,11.61672217,1028.357083,121.1980896,94.59873779,15,6.156,0.889295889,0.42459155,0.701955589
Anseongcheon,South Korea,Palearctic,127.1428566,37.08417976,1449.679603,11.37099557,1031.672811,132.7092648,90.95686131,80,7.425447647,0.88584641,0.1797411,0.847643606
Ansons,Australia,Australasia,148.1705504,-41.10881383,259.6754538,12.51330372,315.2157108,0.100287441,99.9450658,13,1.908071365,0.600293619,0.401966887,0.713283608
Antelope.Wash,United States,Nearctic,-116.3788289,39.40082088,8018.241536,7.303308119,807.1602011,0.099973505,99.80695105,1,2.888724177,0.97340667,0.38498929,0.722027244
Anzali,Iran,Palearctic,49.2904526,37.25954584,3934.496682,13.05151522,736.7561989,10.87926126,98.94632365,34,8.850617621,0.903569457,0.016987331,0.983296418
Aojiang,China,Indo-Malay,120.3204611,27.56728568,1290.608328,17.01200736,725.3964077,13.19328511,93.97740593,56,10.37602311,0.681082079,0.309158311,0.76384956
Aorere,New Zealand,Australasia,172.5191801,-40.85973448,712.6144924,9.863699204,352.0219638,0.15868124,99.95740309,13,25.32689753,0.341218307,0.427945134,0.700307019
Apalachicola,United States,Nearctic,-84.66505902,32.19953313,50882.64753,17.73031466,691.512386,24.96456099,95.10971022,124,54.33386524,0.717569987,0.290589865,0.774839496
Aparima,New Zealand,Australasia,168.0430902,-45.95360319,1549.846218,9.488951655,340.6024829,0.488775603,99.80933116,15,12.64109772,0.39099138,0.487181816,0.67241274
Apodi,Brazil,Neotropic,-37.71152535,-5.746395104,14260.42156,26.5887476,92.03040019,1.446427137,91.52231434,13,2.100057397,0.943006802,0.554835484,0.643154861
Appomattox,United States,Nearctic,-78.05951287,37.30746841,4169.189571,13.88023395,822.1281266,22.00998735,92.88274015,57,13.74689536,0.749489017,0.170200765,0.854554218
Arachthos,Greece,Palearctic,21.03133661,39.5590803,2473.939349,11.46541957,661.1095766,4.651239395,93.42438097,11,8.373289863,0.868132759,0.168349016,0.855908625
Arade,Portugal,Palearctic,-8.348600353,37.30897068,970.6277015,16.27125678,443.6330968,5.604627967,92.91539844,11,5.79487091,0.930919945,0.1888365,0.841158561
Arahura,New Zealand,Australasia,171.2558561,-42.81410752,228.0550716,8.831377321,367.7700368,0.44798483,99.91030051,16,17.53850262,0.348118065,0.482668622,0.674459542
Arakawa,Japan,Palearctic,139.4122165,35.91972145,3860.935376,13.6161705,807.7678221,638.9611969,94.05585433,14,10.5578003,0.589466507,0.113562392,0.898018833
Aransas,United States,Nearctic,-97.59187096,28.17330245,2290.912074,21.71521952,603.153246,4.738659441,99.49517345,17,1.494690318,0.487944171,0.412829833,0.707799323
Arawhata,New Zealand,Australasia,168.5947824,-44.27603284,916.0032136,7.337968583,393.8574914,0.122389173,99.99180951,11,34.26372445,0.50819646,0.499073326,0.667078776
Argens,France,Palearctic,6.262044897,43.48240768,2762.569029,13.42656509,575.3090427,23.83864546,99.60673523,25,10.28379952,0.829571175,0.113412754,0.898139523
Armeria,Mexico,Neotropic,-104.0338336,19.80608593,9703.71101,20.04876691,206.8060445,8.488815904,91.89733487,43,6.941849491,0.948346705,0.211469317,0.825443935
Arno,Italy,Palearctic,11.3152601,43.62439776,8895.330841,13.20279936,649.4304443,44.41795731,96.60455608,14,16.65979655,0.704368886,0.072413793,0.932475884
Aroa,Venezuela,Neotropic,-68.75186402,10.55250045,2453.034502,24.61729561,56.41936586,10.32386732,99.82933631,35,2.513463084,0.668626489,0.341373109,0.745504732
Aropaoanui,New Zealand,Australasia,176.8622708,-39.20475738,165.669706,12.29646921,367.2084072,2.637976587,99.88185603,11,4.593,0.369097016,0.401043036,0.713753949
Arques,France,Palearctic,1.346059276,49.76432287,1022.425972,10.03380889,487.09678,29.14813471,99.60439693,15,5.192584627,0.700460964,0.202641124,0.831503247
Arroio.Diluvio,Brazil,Neotropic,-51.16722661,-30.06754843,93.73432669,19.65268813,357.8837608,19.68976259,95.94108203,48,8.331,0.553946563,0.588377351,0.629573319
Arroyo.Martin,Argentina,Neotropic,-58.05651586,-34.89336249,409.6516363,16.50500866,486.5085571,167.6836128,97.05624941,38,1.569440523,0.443406726,0.632648975,0.612501533
Arthur,Australia,Australasia,145.2481047,-41.23951537,2475.015607,10.50867347,284.2129718,0.623258844,99.97864028,11,20.02342851,0.655251179,0.291708595,0.774168418
Aruvi.Aru,Sri Lanka,Indo-Malay,80.4362461,8.481096564,3331.355234,27.3861171,149.1166403,3.207060456,90.01543278,39,10.84887914,0.880830121,0.323611337,0.75550879
Ashburton.NZ,New Zealand,Australasia,171.4058652,-43.61426316,1747.534094,8.576661303,428.0830458,0.634330422,99.79013587,14,13.15043188,0.519505279,0.497473156,0.667791603
Ashley.NZ,New Zealand,Australasia,172.3077454,-43.14313342,1212.45777,9.453324246,401.2478241,8.489143848,99.85157657,12,12.32415703,0.542593256,0.493014369,0.669785918
Ashley.USA,United States,Nearctic,-80.19436949,33.01799337,1035.427682,18.04801822,681.2451428,12.13266253,99.58982455,47,5.934955495,0.326276319,0.278464372,0.782188399
Asi,Syria,Palearctic,36.95269035,36.15909322,57202.86453,15.53449405,818.8979062,7.055141687,96.35122875,44,12.82566419,0.874914526,0.26628852,0.789709442
Asinaro,Italy,Palearctic,15.07723162,36.91620187,163.8305121,16.98554457,555.503509,1.987023771,95.45915288,4,0.809,0.899853801,0.430552145,0.699030793
Athi,Kenya,Afrotropic,37.6816873,-2.386095253,46728.18007,21.36084929,140.2798145,1.710023433,99.37237259,104,8.841844846,0.860197939,0.383403417,0.722854944
Atrak,Iran,Palearctic,56.38092442,37.78748623,36483.5623,14.23400138,891.2682185,1.737767637,99.08516666,31,9.248626011,0.955391731,0.063891744,0.939945258
Atran,Sweden,Palearctic,13.16641614,57.44029504,3265.170338,6.055452454,662.90924,7.665832162,99.87522664,17,17.51299031,0.376601378,0.110320407,0.900640926
Attanagalu.Oya,Sri Lanka,Indo-Malay,80.02309368,7.137230797,804.6170071,27.18245248,68.18488862,9.351331234,99.24509806,50,11.07498548,0.792833467,0.409498332,0.709472283
Aucilla,United States,Nearctic,-83.74356726,30.50749892,2503.333471,19.47353084,615.5375115,5.493095279,99.90476459,56,8.733134496,0.366091071,0.331907001,0.750803171
Aude,France,Palearctic,2.404949218,43.13105414,5283.136409,12.20938417,578.3109497,12.21346927,97.89383942,29,16.69635411,0.778164018,0.143519863,0.874492899
Aulne,France,Palearctic,-3.741562182,48.29757499,1794.627235,10.87993807,409.539247,8.414038539,98.81093021,15,20.27492249,0.749777185,0.169093899,0.855363287
Authie,France,Palearctic,2.132222588,50.23366436,1107.057949,10.0531193,509.1141523,25.07830811,99.79486254,11,11.01381448,0.659974332,0.100966716,0.908292672
Ave,Portugal,Palearctic,-8.355216568,41.45652139,1382.884256,13.6826564,424.329095,44.71483231,96.63719924,6,14.2281387,0.869821112,0.149993386,0.869570219
Avoca,Australia,Australasia,143.4730977,-36.48306792,4336.800882,14.68698947,489.6088628,0.970856398,99.50200817,4,3.403402544,0.927567411,0.764713177,0.566664324
Avon.Aus,Australia,Australasia,147.1277772,-37.82783761,2465.352492,13.4360247,398.8233438,0.914963424,99.3561723,11,9.368008135,0.429216896,0.39222902,0.71827263
Avon.Eng,United Kingdom,Palearctic,-2.292963737,51.410833,2248.206198,9.811304686,451.359728,58.53077221,98.36714658,20,8.489949742,0.663446112,0.07442852,0.930727341
Avon.Moors,United Kingdom,Palearctic,-2.004726552,51.03345258,2986.359363,9.787211642,445.1259067,38.65943623,99.73928845,21,8.573630222,0.714306511,0.129506807,0.885342163
Avon.NZ,New Zealand,Australasia,172.6256552,-43.50358116,118.7615095,12.21297041,394.8140546,9.174983263,95.89910112,12,1.167774677,0.734905424,0.472705731,0.679022278
Awakino,New Zealand,Australasia,174.7701783,-38.55456106,371.2975484,12.54202079,338.5545738,0.11698165,99.88099864,10,7.376091978,0.540629539,0.417238834,0.705597374
Awanui,New Zealand,Australasia,173.3155542,-35.12284005,416.4868495,15.22452765,284.3965464,0.807132587,99.74375923,11,5.950947286,0.656883084,0.390770956,0.719025657
Awaroa,New Zealand,Australasia,174.9653314,-38.16446927,110.79975,12.6408384,338.3185434,0.327097759,99.88948478,1,3.944,0.59592068,0.291919635,0.774041955
Awarua,New Zealand,Australasia,168.1551412,-44.53172578,1120.420877,7.539745021,382.0578088,0.121260788,99.99177867,6,54.49104351,0.400249704,0.499481425,0.666897224
Awatere,New Zealand,Australasia,173.626751,-41.89627033,1601.202515,8.77180628,426.6725901,1.975266427,99.92926721,11,16.29284092,0.529035842,0.481254099,0.675103617
Awe,United Kingdom,Palearctic,-5.072518504,56.36213985,913.7379165,7.592718157,392.4808515,1.094499975,97.3787721,9,18.61085105,0.523943429,0.170331849,0.854458503
Axios,Macedonia,Palearctic,21.81997713,41.59972692,24583.23488,10.27998627,770.2694808,6.46531713,95.74549145,45,21.280728,0.748140586,0.123132675,0.890366759
Azuri,Japan,Palearctic,136.7816365,34.26813213,10.81392754,15.78560586,742.8795499,62.14790249,NA,4,19.658,0.597517962,0.711902812,0.584145311
Ba,Vietnam,Indo-Malay,108.5803492,13.45982212,13326.83038,23.9870908,191.5446467,1.131172284,99.10089675,51,53.7568842,0.906689571,0.554039024,0.643484484
Babol,Iran,Palearctic,52.59932507,36.3376973,2163.299555,15.79367152,784.102619,9.24761498,97.68160876,46,3.854634051,0.911103239,0.048539969,0.953707088
Baffle.creek,Australia,Australasia,151.6986902,-24.47136349,2527.05689,21.16040184,370.7825629,0.422844879,99.83377124,13,1.986493143,0.896348401,0.639928052,0.609782849
Bago.Negros,Philippines,Indo-Malay,123.1250479,10.52660759,928.4956523,25.21729428,80.29303413,7.34274435,99.86808403,27,24.92618551,0.749765284,0.543873997,0.647721253
Bagura.Oya,Sri Lanka,Indo-Malay,81.69951127,6.626029486,140.5145258,27.25121623,108.4914304,2.139389724,99.83400719,28,3.384,0.791863385,0.335389419,0.748845233
Bakensrivier,South Africa,Afrotropic,25.52371431,-33.98053179,377.2269036,17.54724395,272.214546,6.505049706,96.34345897,36,0.846,0.686009897,0.270794932,0.786909024
Bakir.Cayi,Turkey,Palearctic,27.42222,39.17260777,3361.979284,14.60582738,718.6631847,13.07578611,94.3517928,30,5.088617903,0.955913417,0.27482166,0.784423446
Balcombe.creek,Australia,Australasia,144.9764102,-38.31393563,324.6551815,14.02596153,340.2206807,10.83856416,77.06354036,14,2.393,0.569879985,0.665845444,0.600295786
Balkhash,Kazakhstan,Palearctic,77.64982457,45.59217856,414971.545,5.040702279,1271.958815,0.467283852,99.03579305,15,7.516146333,0.955545338,0.047573018,0.954587397
Balsas,Mexico,Neotropic,-100.0526007,18.57071747,111158.4926,21.63051738,165.0065424,14.19829011,96.89881397,77,52.32780845,0.938032792,0.205761737,0.829351247
Bambawe.Oya,Sri Lanka,Indo-Malay,81.37082592,6.294713777,122.3798554,27.35504869,83.29048814,2.139389753,99.62217219,28,3.297,0.685536044,0.335389419,0.748845233
Bandama,Côte d'Ivoire,Afrotropic,-5.426876525,7.975142797,98897.32414,26.3516,126.843481,0.940306216,97.28627519,117,32.39488322,0.781630915,0.439625782,0.694624959
Bangpakong,Thailand,Indo-Malay,101.5072876,13.82263391,21925.68694,27.2524235,139.892276,23.83903432,99.11741267,91,35.66035899,0.833038572,0.520843195,0.657529983
Bann,United Kingdom,Palearctic,-6.545877911,54.62346553,5747.101892,9.04468462,397.2964062,12.47027421,99.79993473,10,18.09329651,0.4389935,0.047734613,0.954440168
Baram,Malaysia,Indo-Malay,114.7607662,3.542353411,22408.94065,24.80896334,33.63752899,2.015143842,99.99857827,90,96.32504946,0.286047065,0.543104194,0.64804438
Barham,Australia,Australasia,143.6399464,-38.73269277,273.2310976,12.70178267,278.1296608,1.046649039,99.93293168,10,4.096,0.571015888,0.530098763,0.653552584
Barron,Australia,Australasia,145.5286086,-17.02857952,2183.491521,21.77199925,270.7520836,2.288296908,92.21554123,63,9.987959437,0.911244982,0.309426449,0.763693143
Barrow,Ireland,Palearctic,-7.390375475,52.70253012,9077.339609,9.507004812,387.1104422,8.654777288,99.67650255,14,20.00477486,0.631660741,0.055175345,0.947709786
Bartin,Turkey,Palearctic,32.71110146,41.56951328,2940.760412,10.45554037,700.1872028,4.313924074,99.86456627,37,7.654037366,0.732301803,0.133799333,0.881990288
Barwon,Australia,Australasia,143.9567372,-38.02701563,5052.182845,13.30426103,377.8977571,9.581586957,94.39211345,19,10.52635745,0.514234336,0.374783194,0.72738742
Basento,Italy,Palearctic,16.14751797,40.53170468,1564.731072,12.88102453,622.4186412,11.92570353,92.024816,5,6.910095039,0.826963147,0.138599533,0.878271922
Basgoz.Cayi,Turkey,Palearctic,30.27686861,36.58964844,765.8047129,12.30742327,732.2201864,3.430919468,91.07339663,25,6.936328871,0.963840049,0.272331478,0.785958704
Batang.Kerang,Malaysia,Indo-Malay,110.6662051,1.115319927,2981.02429,26.38797499,43.4072082,4.629830897,99.95727301,41,43.47327073,0.547577795,0.105949657,0.904200289
Bay.View,New Zealand,Australasia,176.8439251,-39.46633294,136.9067817,13.87747464,368.5811004,2.637983263,99.06286026,7,3.244,0.421349086,0.333961383,0.749646888
Bear.lake,United States,Nearctic,-112.3759959,40.19924748,1864.355229,8.661583538,910.1993717,4.803068757,99.95621689,9,2.49335736,0.923434825,0.090335075,0.917149253
Bear.river,United States,Nearctic,-112.6051292,40.30232823,122517.791,7.92040139,905.7382918,4.530075252,95.67787673,19,4.857319115,0.852974471,0.093910042,0.914151952
Beauly,United Kingdom,Palearctic,-4.904195739,57.35735093,1015.7814,6.390947355,402.5409853,1.454267323,86.13039619,9,15.31983744,0.502805601,0.170331849,0.854458503
Bedjestan,Iran,Palearctic,58.33717419,34.5912855,33455.32812,17.3136096,938.7794143,1.077495947,98.12524344,3,1.360045301,0.926839361,0.671073152,0.598417848
Bedti,India,Indo-Malay,74.83052939,14.92981806,3870.254743,24.58509047,169.1346522,4.32301861,96.78898073,42,35.6996678,0.974769418,0.664061278,0.600939408
Bega.1,Australia,Australasia,140.1106443,-36.80199301,863.7986676,15.04011868,366.1558058,0.303747624,99.4959776,14,0.452995346,0.980599865,0.391948398,0.718417437
Bega.2,Australia,Australasia,149.6650366,-36.6322264,1961.150283,13.60372145,394.7255688,1.059564844,96.06681255,23,3.08047498,0.355337728,0.84426739,0.542220724
Beilun.He,China,Indo-Malay,107.7665377,21.6887266,842.0695297,21.18228576,502.5230982,1.281978115,99.84222249,51,16.72750046,0.880944272,0.357428668,0.736686961
Beimenjiang,China,Indo-Malay,109.470544,19.58956894,674.0384022,24.1792874,392.251378,2.968976885,99.84932389,46,12.16334857,0.922765207,0.546514283,0.646615431
Bejucal,Trinidad and Tobago,Neotropic,-61.35658482,10.50840774,188.3468849,26.44445689,58.90252834,17.19340992,99.03506179,21,4.361494029,0.663093164,0.307222525,0.764980698
Bellinger,Australia,Australasia,152.7307023,-30.45523075,1140.833106,16.98131255,386.8415674,2.195263594,99.95395788,23,4.996248756,0.529607014,0.674924757,0.597041745
Ben.Hai,Vietnam,Indo-Malay,106.9263532,16.9730048,897.9265908,24.91998555,339.1805037,0.729009241,94.32637215,53,15.11193995,0.95070588,0.52320282,0.65651139
Benevente,Brazil,Neotropic,-40.7606472,-20.60872706,1121.512895,21.11933654,206.9836129,15.50561762,99.88907071,41,8.055434056,0.709891976,0.24945147,0.800351213
Bensbach,Papua New Guinea,Australasia,141.0131325,-8.633760263,3328.828234,26.98072071,98.54384755,0.128627472,99.99500212,52,22.986777,0.56775906,0.445423386,0.691838813
Bentota.Ganga,Sri Lanka,Indo-Malay,80.15298081,6.396837797,669.7938427,26.67005995,54.36652986,15.489259,99.47656896,48,14.40345675,0.783396047,0.379338614,0.724985141
Berg,South Africa,Afrotropic,18.70869554,-33.19164639,8093.084179,17.54478972,393.7861231,15.14272666,95.57435643,7,8.207611688,0.916200095,0.472454019,0.679138355
Bernam,Malaysia,Indo-Malay,101.3108792,3.799863568,2588.978549,26.07356433,38.65035459,57.75836372,99.94416438,86,38.95735388,0.429284866,0.045712946,0.956285378
Betsiboka,Madagascar,Afrotropic,47.11688109,-17.6136668,58338.81004,22.58641099,191.5760122,0.569944367,99.58610033,14,74.12416883,0.91398148,0.301518384,0.768333365
Beysehir,Turkey,Palearctic,32.24513629,37.68116545,16030.41944,10.26627094,777.8508187,5.818196654,96.79751845,17,8.462179583,0.935162248,0.522284114,0.656907597
Bharathapuzha,India,Indo-Malay,76.63071767,10.73738564,6160.768842,26.29502545,147.3066982,15.27151823,95.58029851,92,31.2764841,0.953475938,0.419087384,0.70467824
Bia,Ghana,Afrotropic,-2.988412175,6.33128118,10113.72814,26.35458357,111.3117111,1.62389487,97.94051218,67,20.29633672,0.746421933,0.45036564,0.689481309
Biferno,Italy,Palearctic,14.67209368,41.67008819,1325.988088,13.058408,642.822905,21.40438747,90.54575165,7,7.656610043,0.779793833,0.20211773,0.831865278
Big.Sur,United States,Nearctic,-121.7071426,36.25111134,155.3923681,12.17190313,350.7983576,25.1642704,99.24597552,5,3.251,0.964415396,0.138267164,0.878528373
Biga,Turkey,Palearctic,27.07872692,40.09163237,2130.294099,13.4983593,677.4990111,5.147256017,95.61342935,42,4.552930856,0.948623824,0.069533608,0.934986982
Biliu.He,China,Palearctic,122.5642891,39.97974355,2777.135045,8.615605495,1151.587055,6.97235781,92.50180965,47,6.41765268,0.899473827,0.515969703,0.65964379
Biobio,Chile,Neotropic,-71.95763332,-37.73809655,24265.07833,9.904676945,420.802964,1.674965352,98.95194793,21,75.08191192,0.823294201,0.258052682,0.794879272
Biwa,Japan,Palearctic,135.9466465,35.02487826,8319.031815,13.62174389,837.8820849,209.4776268,93.44084368,51,30.44087272,0.246784368,0.257964784,0.794934813
Black,Australia,Australasia,145.3379566,-40.98352873,336.2745305,11.66135478,278.3510131,0.436375931,99.92411516,7,5.866983683,0.689062298,0.355870342,0.737533648
Blackstone,United States,Nearctic,-71.59846979,42.04064203,1662.036929,9.082974717,925.2714667,134.0997257,96.42292734,20,11.81032059,0.557777668,0.235741262,0.809230889
Blackwater,Ireland,Palearctic,-8.5015716,52.15976344,3242.792456,9.461205452,368.2887559,7.39533186,99.87056751,17,21.45799664,0.655729701,0.089761993,0.917631562
Blackwater.USA,United States,Nearctic,-86.9034626,30.85915525,2167.443876,18.87451347,649.0702415,8.436119676,99.57427833,70,8.982891809,0.436147152,0.310141122,0.763276553
Blackwood,Australia,Australasia,117.0387181,-33.57262217,22026.53714,15.94543862,437.6409344,0.486858159,99.77306992,15,2.052307156,0.905378675,0.261454531,0.792735668
Blanche,Martinique,Neotropic,-61.01218944,14.66477743,133.2533075,25.46515621,92.99115167,NA,99.64768467,12,5.383755603,0.699858453,0.61554084,0.618987756
Blanche.Bay,Australia,Australasia,140.712399,-37.9478503,276.2987552,14.03444921,315.126816,0.922144294,99.6345117,5,3.168012344,0.680701151,0.413190063,0.707618902
Blavet,France,Palearctic,-3.075166666,48.08678418,2060.103342,11.14880469,417.8925583,9.009625077,95.23160896,20,16.01675336,0.75054769,0.082161611,0.924076395
Blythe,Australia,Australasia,145.9055474,-41.26586845,273.8418935,10.23676526,304.0517372,0.812918931,99.96983746,6,5.922149883,0.677018997,0.291365157,0.774374308
Bo.Langvlei,South Africa,Afrotropic,22.62793061,-33.92548803,168.69583,16.10734466,275.5211027,1.505803943,98.92923092,5,0.474,0.478431373,0.234935322,0.809759007
Bodigoda.Aru,Sri Lanka,Indo-Malay,81.31666755,8.048170605,153.5051063,27.87475225,161.7138686,1.313983679,99.82311612,28,3.294842802,0.848716601,0.335389419,0.748845233
Boesmansrivier,South Africa,Afrotropic,26.12604189,-33.36198918,2741.755713,17.33006257,303.5455304,3.466260731,96.22258501,41,1.910607758,0.643857637,0.302512423,0.767746996
Boghen,New Caledonia,Australasia,165.5730235,-21.53491928,555.8238417,21.86223099,243.8022442,2.691174746,99.94573338,20,2.858392353,0.581713493,0.831727974,0.545932592
Bolaman,Turkey,Palearctic,37.46468651,40.73287305,1232.751216,9.354798191,647.3238794,3.399262071,99.81664462,35,4.912150523,0.818974749,0.293895087,0.772860188
